Temp,DO,NH4,NO2,ABW,DOC,ABW.1,ADG
27.5,6.22,6.0,4.1,6.6,52,6.6,0.246666667
27.7,4.27,6.0,3.6,6.846666667,53,6.846666667,0.246666667
27.9,4.97,7.0,3.5,7.093333333,54,7.093333333,0.246666667
27.8,5.34,8.0,3.6,7.34,55,7.34,0.246666667
27.9,5.67,7.0,3.6,7.14,56,7.14,-0.2
30.4,7.01,0.1,0.05,0.0119,1,0.0119,-7.1281
29.3,6.81,0.2,,0.0228,2,0.0228,0.0109
29.4,6.23,0.3,0.03,0.0337,3,0.0337,0.0109
27.3,7.23,0.3,,0.0446,4,0.0446,0.0109
28.5,6.79,0.3,0.03,0.0555,5,0.0555,0.0109
28.6,6.43,0.3,,0.0664,6,0.0664,0.0109
28.7,5.81,0.3,0.02,0.0773,7,0.0773,0.0109
28.4,5.43,0.5,,0.0882,8,0.0882,0.0109
28.1,6.74,0.7,0.05,0.0991,9,0.0991,0.0109
28.1,7.84,0.6,,0.11,10,0.11,0.0109
27.9,9.48,0.5,0.05,0.18,11,0.18,0.07
28.6,10.68,0.45,,0.25,12,0.25,0.07
28.7,8.75,0.4,0.06,0.32,13,0.32,0.07
28.4,8.24,0.4,,0.39,14,0.39,0.07
28.4,7.67,0.4,0.05,0.46,15,0.46,0.07
28.5,6.89,0.3,0.06,0.53,16,0.53,0.07
28.1,7.27,0.3,0.05,0.6,17,0.6,0.07
28.1,7.64,0.4,,0.67,18,0.67,0.07
28.0,7.24,0.5,0.05,0.74,19,0.74,0.07
28.8,6.02,0.55,,0.8365,20,0.8365,0.0965
28.5,6.24,0.6,0.05,0.9032,21,0.9032,0.0667
28.3,6.98,1.0,0.06,0.9699,22,0.9699,0.0667
28.2,4.49,1.7,0.05,1.0366,23,1.0366,0.0667
28.3,4.69,2.7,0.06,1.1033,24,1.1033,0.0667
28.0,5.09,2.7,0.05,1.17,25,1.17,0.0667
27.8,5.21,2.7,0.05,1.248,26,1.248,0.078
27.9,6.76,2.7,0.05,1.326,27,1.326,0.078
