Temp;DO;NH4;NO2;ABW;DOC;ABW
26.6;4.63;5;0.3;4.586;43;4.586
27.1;3.99;5.5;0.35;4.758;44;4.758
27;4.63;7;0.4;4.93;45;4.93
27.3;5.14;6;0.4;5.124;46;5.124
27.3;5.29;7;0.45;5.318;47;5.318
27.4;4.78;8;0.45;5.512;48;5.512
27.1;4.43;9;0.5;5.706;49;5.706
27.7;5.01;10;0.45;5.9;50;5.9
27.5;5.65;10;0.5;6.065;51;6.065
27.6;4.65;11.5;0.6;6.23;52;6.23
27.6;5.07;14;0.75;6.395;53;6.395
27.9;5.22;14;0.85;6.56;54;6.56
28;5.04;16;0.8;6.832;55;6.832
27.9;5.49;15;1;7.104;56;7.104
27.9;4.95;14;1.6;7.376;57;7.376
27.4;5.54;11;3;7.648;58;7.648
27.6;5.03;10;3;7.92;59;7.92
27.5;5.19;9;3.5;8.14;60;8.14
26.6;5.73;11;3.5;8.36;61;8.36
26.2;4.81;12;3.7;8.58;62;8.58
26.2;6.04;14;3.9;8.8;63;8.8
26.1;5.11;10;3.7;9.02;64;9.02
26.4;5.68;10;3.8;9.216666667;65;9.216666667
25.7;5.71;9;3.9;9.413333333;66;9.413333333
26.1;5.88;10;3.8;9.61;67;9.61
26.5;5.97;9;3.8;9.806666667;68;9.806666667
26.7;5.57;9;3.7;10.00333333;69;10.00333333
26.6;5.85;7;3.9;10.2;70;10.2
27.2;5.89;9;4.1;10.432;71;10.432
27.2;5.66;8;4.1;10.664;72;10.664
27.3;5.54;7;4.3;10.896;73;10.896
27.4;5.71;9;4.5;11.128;74;11.128
27.4;6.02;9;4.4;11.36;75;11.36
27.5;6.13;8;4.5;11.652;76;11.652
27.9;6.09;9;4.7;11.944;77;11.944
28.1;4.23;10;4.8;12.236;78;12.236
27.5;5.67;9;4.8;12.528;79;12.528
28;5.18;10;5;12.82;80;12.82
29;5.87;0.2;0.03;0.001;0;0.001
28.9;5.98;;;0.023052632;1;0.023052632
27.9;6.25;0.4;0.04;0.045105263;2;0.045105263
27.6;;;;0.067157895;3;0.067157895
;;0.2;0.03;0.089210526;4;0.089210526
28.2;8.49;;;0.111263158;5;0.111263158
27.8;7.69;0.2;0.04;0.133315789;6;0.133315789
28.1;8.81;;;0.155368421;7;0.155368421
28.7;8.98;0.2;0.15;0.177421053;8;0.177421053
29;8.02;;;0.199473684;9;0.199473684
29.2;7.81;0.3;0.22;0.221526316;10;0.221526316
29.8;8.01;;;0.243578947;11;0.243578947
30.2;9.76;0.3;0.18;0.265631579;12;0.265631579
29.9;9.2;;;0.287684211;13;0.287684211
29.3;8.88;0.2;0.1;0.309736842;14;0.309736842
29.5;8.46;;;0.331789474;15;0.331789474
29.3;8.07;0.3;0.13;0.353842105;16;0.353842105
29;9.59;;;0.375894737;17;0.375894737
29.2;8.55;0.4;0.13;0.397947368;18;0.397947368
